,WL,power
89,1.3018868e-06,-63.9594297
90,1.301908e-06,-64.0431365
91,1.3019292e-06,-63.8224648
92,1.3019504e-06,-67.0672618
93,1.3019716e-06,-66.4344073
94,1.3019928000000001e-06,-65.3924105
95,1.302014e-06,-69.4837373
96,1.3020352e-06,-66.9262045
97,1.3020564e-06,-66.0307714
98,1.3020776e-06,-64.8922803
99,1.3020988e-06,-66.1766676
100,1.3021200000000001e-06,-69.4822511
101,1.3021412e-06,-66.2998749
102,1.3021624e-06,-64.8101738
103,1.3021836e-06,-67.4762064
104,1.3022048e-06,-65.3452958
105,1.302226e-06,-64.8114409
106,1.3022472000000001e-06,-64.1051613
107,1.3022684e-06,-64.2762961
108,1.3022896e-06,-61.8016479
109,1.3023108e-06,-61.3900952
110,1.302332e-06,-59.9397641
111,1.3023532e-06,-57.2890167
112,1.3023744000000001e-06,-55.4643644
113,1.3023956e-06,-52.135417
114,1.3024168e-06,-48.485849
115,1.302438e-06,-45.102139
116,1.3024592e-06,-42.9526008
117,1.3024804e-06,-42.2565705
118,1.3025016000000001e-06,-43.7731822
119,1.3025228e-06,-46.8145006
120,1.302544e-06,-50.5913713
121,1.3025652e-06,-54.1479804
122,1.3025864e-06,-57.3717661
123,1.3026076e-06,-60.1277004
124,1.3026288e-06,-61.0959386
125,1.3026500000000001e-06,-61.7407339
126,1.3026712e-06,-62.0237048
127,1.3026924e-06,-62.112239
128,1.3027136e-06,-64.7373081
129,1.3027348e-06,-63.0399805
130,1.302756e-06,-64.6683416
131,1.3027772000000001e-06,-64.8614043
132,1.3027984e-06,-64.4661406
133,1.3028196e-06,-64.4802083
134,1.3028408e-06,-64.8154981
135,1.302862e-06,-66.088203
136,1.3028832e-06,-65.3405693
137,1.3029044000000001e-06,-69.4459965
138,1.3029256e-06,-65.6410299
139,1.3029468e-06,-65.3257075
140,1.302968e-06,-67.8313828
141,1.3029892e-06,-64.957319
142,1.3030104e-06,-64.2007725
143,1.3030316000000001e-06,-64.8114409
144,1.3030528e-06,-65.5143454
145,1.303074e-06,-67.1409547
146,1.3030952e-06,-65.9132353
147,1.3031164e-06,-65.8254438
148,1.3031376e-06,-63.5183003
149,1.3031588000000001e-06,-65.3420011
150,1.30318e-06,-64.4290799
151,1.3032012e-06,-62.7196871
152,1.3032224e-06,-62.0169072
153,1.3032436e-06,-60.2075653
154,1.3032648e-06,-59.5495269
155,1.3032860000000001e-06,-56.5436057
156,1.3033072e-06,-53.2151617
157,1.3033284e-06,-49.1922046
158,1.3033496e-06,-45.2453066
159,1.3033708e-06,-42.2103399
160,1.303392e-06,-40.6793956
161,1.3034132000000001e-06,-40.7131029
162,1.3034344e-06,-42.443943
163,1.3034556e-06,-45.7566302
164,1.3034768e-06,-50.7360169
165,1.303498e-06,-54.162275
166,1.3035192e-06,-57.1969141
167,1.3035404000000001e-06,-59.0160735
168,1.3035616e-06,-60.1220147
169,1.3035828e-06,-62.9527065
170,1.303604e-06,-63.4935306
171,1.3036252e-06,-62.047916
172,1.3036464e-06,-63.9683961
173,1.3036676000000001e-06,-64.3909522
174,1.3036888e-06,-66.2703395
175,1.30371e-06,-66.2033003
176,1.3037312e-06,-69.4744567
177,1.3037524e-06,-64.4242087
178,1.3037736e-06,-67.1840709
179,1.3037948e-06,-64.9085785
180,1.303816e-06,-65.8405151
181,1.3038372e-06,-63.6425702
182,1.3038584e-06,-69.4744567
183,1.3038796e-06,-64.2106932
184,1.3039008e-06,-66.9491563
185,1.303922e-06,-66.1867444
186,1.3039432e-06,-63.7002716
187,1.3039644e-06,-63.9173484
188,1.3039856e-06,-66.6716947
189,1.3040068e-06,-67.5175995
190,1.304028e-06,-65.8289664
191,1.3040492e-06,-63.6939965
